"","Fecha","LD-BONDESD-200130","Tasa","Sobretasa","TasaCupon"
"1","2017-06-26",100.625480058589,6.98,0.11,7.43
"2","2017-06-27",100.672177392366,6.95,0.11,7.43
"3","2017-06-28",100.672177392366,6.95,0.11,7.43
"4","2017-06-29",100.625480058589,6.98,0.11,7.43
"5","2017-06-30",100.369065474696,7.11,0.11,7.43
"6","2017-07-03",100.462224822073,7.07,0.11,7.43
"7","2017-07-04",100.369065474696,7.12,0.11,7.43
"8","2017-07-05",100.602140226463,6.99,0.11,7.43
"9","2017-07-06",100.532156050404,7.02,0.11,7.43
"10","2017-07-07",100.532156050404,7.02,0.11,7.43
"11","2017-07-10",100.532156050404,7.02,0.11,7.43
"12","2017-07-11",100.485529351034,7.05,0.11,7.43
"13","2017-07-12",100.462224822073,7.06,0.11,7.43
"14","2017-07-13",100.415633397805,7.09,0.11,7.43
"15","2017-07-14",100.462224822073,7.07,0.11,7.43
"16","2017-07-17",100.532156050404,7.02,0.11,7.43
"17","2017-07-18",100.532156050404,7.03,0.11,7.43
"18","2017-07-19",100.462224822073,7.07,0.11,7.43
"19","2017-07-20",100.485529351034,7.05,0.11,7.43
"20","2017-07-21",100.532156050404,7.03,0.11,7.43
"21","2017-07-24",100.55547822393,7.01,0.11,7.43
"22","2017-07-25",100.532156050404,7.02,0.11,7.43
"23","2017-07-26",100.532156050404,7.03,0.11,7.43
"24","2017-07-27",100.462224822073,7.07,0.11,7.43
"25","2017-07-28",100.462224822073,7.06,0.11,7.43
"26","2017-07-31",100.438926171516,7.08,0.11,7.43
"27","2017-08-01",100.438926171516,7.08,0.11,7.43
"28","2017-08-02",100.462224822073,7.07,0.11,7.43
"29","2017-08-03",100.532156050404,7.02,0.11,7.43
"30","2017-08-04",100.532156050404,7.03,0.11,7.43
"31","2017-08-07",100.532156050404,7.03,0.11,7.43
"32","2017-08-08",100.532156050404,7.03,0.11,7.43
"33","2017-08-09",100.578806282096,7,0.11,7.43
"34","2017-08-10",100.55547822393,7.01,0.11,7.43
"35","2017-08-11",100.55547822393,7.01,0.11,7.43
"36","2017-08-14",100.532156050404,7.02,0.11,7.43
"37","2017-08-15",100.485529351034,7.05,0.11,7.43
"38","2017-08-16",100.462224822073,7.06,0.11,7.43
"39","2017-08-17",100.532156050404,7.02,0.11,7.43
"40","2017-08-18",100.462224822073,7.06,0.11,7.43
"41","2017-08-21",100.462224822073,7.06,0.11,7.43
"42","2017-08-22",100.532156050404,7.03,0.11,7.43
"43","2017-08-23",100.508839759958,7.04,0.11,7.43
"44","2017-08-24",100.532156050404,7.02,0.11,7.43
"45","2017-08-25",100.55547822393,7.01,0.11,7.43
"46","2017-08-28",100.532156050404,7.02,0.11,7.43
"47","2017-08-29",100.602140226463,6.99,0.11,7.43
"48","2017-08-30",100.602140226463,6.99,0.11,7.43
"49","2017-08-31",100.438926171516,7.08,0.11,7.43
"50","2017-09-01",100.462224822073,7.06,0.11,7.43
"51","2017-09-04",100.485529351034,7.05,0.11,7.43
"52","2017-09-05",100.532156050404,7.02,0.11,7.43
"53","2017-09-06",100.532156050404,7.02,0.11,7.43
"54","2017-09-07",100.532156050404,7.03,0.11,7.43
