"","fecha","*CSP-MXPUSDS-V48"
"1",2016-05-04,17.7303
"2",2016-05-05,17.865
"3",2016-05-06,17.8638
"4",2016-05-09,18.172
"5",2016-05-10,17.998
"6",2016-05-11,17.9473
"7",2016-05-12,17.926
"8",2016-05-13,18.1885
"9",2016-05-16,18.1698
"10",2016-05-17,18.2985
"11",2016-05-18,18.4678
"12",2016-05-19,18.4575
"13",2016-05-20,18.3303
"14",2016-05-23,18.4818
"15",2016-05-24,18.4913
"16",2016-05-25,18.4458
"17",2016-05-26,18.4523
"18",2016-05-27,18.4743
"19",2016-05-30,18.479
"20",2016-05-31,18.4663
"21",2016-06-01,18.4865
"22",2016-06-02,18.622
"23",2016-06-03,18.6058
"24",2016-06-06,18.6288
"25",2016-06-07,18.4078
"26",2016-06-08,18.1128
"27",2016-06-09,18.2893
"28",2016-06-10,18.655
"29",2016-06-13,18.8133
"30",2016-06-14,18.9583
"31",2016-06-15,18.7905
"32",2016-06-16,18.9155
"33",2016-06-17,18.7895
"34",2016-06-20,18.6818
"35",2016-06-21,18.5918
"36",2016-06-22,18.5325
"37",2016-06-23,18.307
"38",2016-06-24,18.9355
"39",2016-06-27,19.205
"40",2016-06-28,18.8278
"41",2016-06-29,18.5363
"42",2016-06-30,18.258
"43",2016-07-01,18.3603
"44",2016-07-04,18.41
"45",2016-07-05,18.7923
"46",2016-07-06,18.733
"47",2016-07-07,18.851
"48",2016-07-08,18.459
"49",2016-07-11,18.465
"50",2016-07-12,18.2975
"51",2016-07-13,18.3668
"52",2016-07-14,18.3013
"53",2016-07-15,18.4745
"54",2016-07-18,18.4035
"55",2016-07-19,18.5748
"56",2016-07-20,18.614
"57",2016-07-21,18.6318
"58",2016-07-22,18.5718
"59",2016-07-25,18.7568
"60",2016-07-26,18.81
"61",2016-07-27,18.8735
"62",2016-07-28,18.892
"63",2016-07-29,18.764
"64",2016-08-01,18.8408
"65",2016-08-02,18.9475
"66",2016-08-03,18.9355
"67",2016-08-04,18.8975
"68",2016-08-05,18.7493
"69",2016-08-08,18.5645
"70",2016-08-09,18.446
"71",2016-08-10,18.3593
"72",2016-08-11,18.1835
"73",2016-08-12,18.28
"74",2016-08-15,18.083
"75",2016-08-16,17.9978
"76",2016-08-17,18.148
"77",2016-08-18,18.0813
"78",2016-08-19,18.266
"79",2016-08-22,18.323
"80",2016-08-23,18.455
"81",2016-08-24,18.478
"82",2016-08-25,18.3978
"83",2016-08-26,18.532
"84",2016-08-29,18.5835
"85",2016-08-30,18.8468
"86",2016-08-31,18.8473
"87",2016-09-01,18.776
"88",2016-09-02,18.5785
